u_i;p;M;L;l.1
8499;10005;54;154;154
8549;10005;54;155;154
8599;10005;54;155;154
8649;10005;54;154;154
8700;10005;54;11;11
8750;10005;54;78;77
8800;10005;54;78;77
8851;10005;54;155;154
8901;10005;54;14;14
8951;10005;54;155;154
9001;10005;54;155;154
9052;10005;54;155;154
9102;10005;54;154;154
9152;10005;54;155;154
9202;10005;54;155;154
9253;10005;54;155;154
9303;10005;54;154;154
9353;10005;54;155;154
9404;10005;54;155;154
9454;10005;54;23;22
9504;10005;54;154;154
9554;10005;54;155;154
9605;10005;54;78;77
9655;10005;54;78;77
9705;10005;54;77;77
9756;10005;54;154;154
9806;10005;54;155;154
9856;10005;54;155;154
9906;10005;54;154;154
9957;10005;54;154;154
1;10006;54;5003;5002
51;10006;54;5003;5002
102;10006;54;5002;5002
152;10006;54;5002;5002
202;10006;54;5002;5002
252;10006;54;5002;5002
303;10006;54;5003;5002
353;10006;54;5003;5002
403;10006;54;5003;5002
454;10006;54;5002;5002
504;10006;54;5002;5002
554;10006;54;5002;5002
604;10006;54;5002;5002
655;10006;54;5003;5002
705;10006;54;5003;5002
755;10006;54;5003;5002
806;10006;54;5002;5002
856;10006;54;5002;5002
906;10006;54;5002;5002
956;10006;54;5002;5002
1007;10006;54;5003;5002
1057;10006;54;5003;5002
1107;10006;54;5003;5002
1157;10006;54;5003;5002
1208;10006;54;5002;5002
1258;10006;54;5002;5002
1308;10006;54;5002;5002
1359;10006;54;5003;5002
1409;10006;54;5003;5002
1459;10006;54;5003;5002
1509;10006;54;5003;5002
1560;10006;54;5002;5002
1610;10006;54;5002;5002
1660;10006;54;5002;5002
1711;10006;54;5003;5002
1761;10006;54;5003;5002
1811;10006;54;5003;5002
1861;10006;54;5003;5002
1912;10006;54;5002;5002
1962;10006;54;5002;5002
2012;10006;54;5002;5002
2063;10006;54;5003;5002
2113;10006;54;5003;5002
2163;10006;54;5003;5002
2213;10006;54;5003;5002
2264;10006;54;5002;5002
2314;10006;54;5002;5002
2364;10006;54;5002;5002
2415;10006;54;5003;5002
2465;10006;54;5003;5002
2515;10006;54;5003;5002
2565;10006;54;5003;5002
2616;10006;54;5002;5002
2666;10006;54;5002;5002
2716;10006;54;5002;5002
2766;10006;54;5002;5002
2817;10006;54;5003;5002
2867;10006;54;5003;5002
2917;10006;54;5003;5002
2968;10006;54;5002;5002
3018;10006;54;5002;5002
3068;10006;54;5002;5002
3118;10006;54;5002;5002
3169;10006;54;5003;5002
3219;10006;54;5003;5002
3269;10006;54;5003;5002
3320;10006;54;5002;5002
3370;10006;54;5002;5002
3420;10006;54;5002;5002
3470;10006;54;5002;5002
3521;10006;54;5003;5002
3571;10006;54;5003;5002
3621;10006;54;5003;5002
3672;10006;54;5002;5002
3722;10006;54;5002;5002
3772;10006;54;5002;5002
3822;10006;54;5002;5002
3873;10006;54;5003;5002
3923;10006;54;5003;5002
3973;10006;54;5003;5002
4024;10006;54;5002;5002
4074;10006;54;5002;5002
4124;10006;54;5002;5002
4174;10006;54;5002;5002
4225;10006;54;5003;5002
4275;10006;54;5003;5002
4325;10006;54;5003;5002
4375;10006;54;5003;5002
4426;10006;54;5002;5002
4476;10006;54;5002;5002
4526;10006;54;5002;5002
4577;10006;54;5003;5002
4627;10006;54;5003;5002
4677;10006;54;5003;5002
4727;10006;54;5003;5002
4778;10006;54;5002;5002
4828;10006;54;5002;5002
4878;10006;54;5002;5002
4929;10006;54;5003;5002
4979;10006;54;5003;5002
5029;10006;54;5003;5002
5079;10006;54;5003;5002
5130;10006;54;5002;5002
5180;10006;54;5002;5002
5230;10006;54;5002;5002
5281;10006;54;5003;5002
5331;10006;54;5003;5002
5381;10006;54;5003;5002
5431;10006;54;5003;5002
5482;10006;54;5002;5002
5532;10006;54;5002;5002
5582;10006;54;5002;5002
5633;10006;54;5003;5002
5683;10006;54;5003;5002
5733;10006;54;5003;5002
5783;10006;54;5003;5002
5834;10006;54;5002;5002
5884;10006;54;5002;5002
5934;10006;54;5002;5002
5984;10006;54;5002;5002
6035;10006;54;5003;5002
6085;10006;54;5003;5002
6135;10006;54;5003;5002
6186;10006;54;5002;5002
6236;10006;54;5002;5002
6286;10006;54;5002;5002
6336;10006;54;5002;5002
6387;10006;54;5003;5002
6437;10006;54;5003;5002
6487;10006;54;5003;5002
6538;10006;54;5002;5002
6588;10006;54;5002;5002
6638;10006;54;5002;5002
6688;10006;54;5002;5002
6739;10006;54;5003;5002
6789;10006;54;5003;5002
6839;10006;54;5003;5002
6890;10006;54;5002;5002
6940;10006;54;5002;5002
6990;10006;54;5002;5002
7040;10006;54;5002;5002
7091;10006;54;5003;5002
7141;10006;54;5003;5002
7191;10006;54;5003;5002
7242;10006;54;5002;5002
7292;10006;54;5002;5002
7342;10006;54;5002;5002
7392;10006;54;5002;5002
7443;10006;54;5003;5002
7493;10006;54;5003;5002
7543;10006;54;5003;5002
7593;10006;54;5003;5002
7644;10006;54;5002;5002
7694;10006;54;5002;5002
7744;10006;54;5002;5002
7795;10006;54;5003;5002
7845;10006;54;5003;5002
7895;10006;54;5003;5002
7945;10006;54;5003;5002
7996;10006;54;5002;5002
8046;10006;54;5002;5002
8096;10006;54;5002;5002
8147;10006;54;5003;5002
8197;10006;54;5003;5002
8247;10006;54;5003;5002
8297;10006;54;5003;5002
8348;10006;54;5002;5002
8398;10006;54;5002;5002
8448;10006;54;5002;5002
8499;10006;54;5003;5002
8549;10006;54;5003;5002
8599;10006;54;5003;5002
8649;10006;54;5003;5002
8700;10006;54;5002;5002
8750;10006;54;5002;5002
8800;10006;54;5002;5002
8851;10006;54;5003;5002
8901;10006;54;5003;5002
8951;10006;54;5003;5002
9001;10006;54;5003;5002
9052;10006;54;5002;5002
9102;10006;54;5002;5002
9152;10006;54;5002;5002
9202;10006;54;5002;5002
9253;10006;54;5003;5002
9303;10006;54;5003;5002
9353;10006;54;5003;5002
9404;10006;54;5002;5002
9454;10006;54;5002;5002
9504;10006;54;5002;5002
9554;10006;54;5002;5002
9605;10006;54;5003;5002
9655;10006;54;5003;5002
9705;10006;54;5003;5002
9756;10006;54;5002;5002
9806;10006;54;5002;5002
9856;10006;54;5002;5002
9906;10006;54;5002;5002
9957;10006;54;5003;5002
1;10007;54;5003;5003
51;10007;54;5003;5003
102;10007;54;5003;5003
152;10007;54;5003;5003
202;10007;54;5003;5003
252;10007;54;5003;5003
303;10007;54;5003;5003
353;10007;54;5003;5003
403;10007;54;5003;5003
454;10007;54;5003;5003
504;10007;54;5003;5003
554;10007;54;5003;5003
604;10007;54;5003;5003
655;10007;54;5003;5003
705;10007;54;5003;5003
755;10007;54;5003;5003
806;10007;54;5003;5003
856;10007;54;5003;5003
906;10007;54;5003;5003
956;10007;54;5003;5003
1007;10007;54;5003;5003
1057;10007;54;5003;5003
1107;10007;54;5003;5003
1157;10007;54;5003;5003
1208;10007;54;5003;5003
1258;10007;54;5003;5003
1308;10007;54;5003;5003
1359;10007;54;5003;5003
1409;10007;54;5003;5003
1459;10007;54;5003;5003
1509;10007;54;5003;5003
1560;10007;54;5003;5003
1610;10007;54;5003;5003
1660;10007;54;5003;5003
1711;10007;54;5003;5003
1761;10007;54;5003;5003
1811;10007;54;5003;5003
1861;10007;54;5003;5003
1912;10007;54;5003;5003
1962;10007;54;5003;5003
2012;10007;54;5003;5003
2063;10007;54;5003;5003
2113;10007;54;5003;5003
2163;10007;54;5003;5003
2213;10007;54;5003;5003
2264;10007;54;5003;5003
2314;10007;54;5003;5003
2364;10007;54;5003;5003
2415;10007;54;5003;5003
2465;10007;54;5003;5003
2515;10007;54;5003;5003
2565;10007;54;5003;5003
2616;10007;54;5003;5003
2666;10007;54;5003;5003
2716;10007;54;5003;5003
2766;10007;54;5003;5003
2817;10007;54;5003;5003
2867;10007;54;5003;5003
2917;10007;54;5003;5003
2968;10007;54;5003;5003
3018;10007;54;5003;5003
3068;10007;54;5003;5003
3118;10007;54;5003;5003
3169;10007;54;5003;5003
3219;10007;54;5003;5003
3269;10007;54;5003;5003
3320;10007;54;5003;5003
3370;10007;54;5003;5003
3420;10007;54;5003;5003
3470;10007;54;5003;5003
3521;10007;54;5003;5003
3571;10007;54;5003;5003
3621;10007;54;5003;5003
3672;10007;54;5003;5003
3722;10007;54;5003;5003
3772;10007;54;5003;5003
3822;10007;54;5003;5003
3873;10007;54;5003;5003
3923;10007;54;5003;5003
3973;10007;54;5003;5003
4024;10007;54;5003;5003
4074;10007;54;5003;5003
4124;10007;54;5003;5003
4174;10007;54;5003;5003
4225;10007;54;5003;5003
4275;10007;54;5003;5003
4325;10007;54;5003;5003
4375;10007;54;5003;5003
4426;10007;54;5003;5003
4476;10007;54;5003;5003
4526;10007;54;5003;5003
4577;10007;54;5003;5003
4627;10007;54;5003;5003
4677;10007;54;5003;5003
4727;10007;54;5003;5003
4778;10007;54;5003;5003
4828;10007;54;5003;5003
4878;10007;54;5003;5003
4929;10007;54;5003;5003
4979;10007;54;5003;5003
5029;10007;54;5003;5003
5079;10007;54;5003;5003
5130;10007;54;5003;5003
5180;10007;54;5003;5003
5230;10007;54;5003;5003
5281;10007;54;5003;5003
5331;10007;54;5003;5003
5381;10007;54;5003;5003
5431;10007;54;5003;5003
5482;10007;54;5003;5003
5532;10007;54;5003;5003
5582;10007;54;5003;5003
5633;10007;54;5003;5003
5683;10007;54;5003;5003
5733;10007;54;5003;5003
5783;10007;54;5003;5003
5834;10007;54;5003;5003
5884;10007;54;5003;5003
5934;10007;54;5003;5003
5984;10007;54;5003;5003
6035;10007;54;5003;5003
6085;10007;54;5003;5003
6135;10007;54;5003;5003
6186;10007;54;5003;5003
6236;10007;54;5003;5003
6286;10007;54;5003;5003
6336;10007;54;5003;5003
6387;10007;54;5003;5003
6437;10007;54;5003;5003
6487;10007;54;5003;5003
6538;10007;54;5003;5003
6588;10007;54;5003;5003
6638;10007;54;5003;5003
6688;10007;54;5003;5003
6739;10007;54;5003;5003
6789;10007;54;5003;5003
6839;10007;54;5003;5003
6890;10007;54;5003;5003
6940;10007;54;5003;5003
6990;10007;54;5003;5003
7040;10007;54;5003;5003
7091;10007;54;5003;5003
7141;10007;54;5003;5003
7191;10007;54;5003;5003
7242;10007;54;5003;5003
7292;10007;54;5003;5003
7342;10007;54;5003;5003
7392;10007;54;5003;5003
7443;10007;54;5003;5003
7493;10007;54;5003;5003
7543;10007;54;5003;5003
7593;10007;54;5003;5003
7644;10007;54;5003;5003
7694;10007;54;5003;5003
7744;10007;54;5003;5003
7795;10007;54;5003;5003
7845;10007;54;5003;5003
7895;10007;54;5003;5003
7945;10007;54;5003;5003
7996;10007;54;5003;5003
8046;10007;54;5003;5003
8096;10007;54;5003;5003
8147;10007;54;5003;5003
8197;10007;54;5003;5003
8247;10007;54;5003;5003
8297;10007;54;5003;5003
8348;10007;54;5003;5003
8398;10007;54;5003;5003
8448;10007;54;5003;5003
8499;10007;54;5003;5003
8549;10007;54;5003;5003
8599;10007;54;5003;5003
8649;10007;54;5003;5003
8700;10007;54;5003;5003
8750;10007;54;5003;5003
8800;10007;54;5003;5003
8851;10007;54;5003;5003
8901;10007;54;5003;5003
8951;10007;54;5003;5003
9001;10007;54;5003;5003
9052;10007;54;5003;5003
9102;10007;54;5003;5003
9152;10007;54;5003;5003
9202;10007;54;5003;5003
9253;10007;54;5003;5003
9303;10007;54;5003;5003
9353;10007;54;5003;5003
9404;10007;54;5003;5003
9454;10007;54;5003;5003
9504;10007;54;5003;5003
9554;10007;54;5003;5003
9605;10007;54;5003;5003
9655;10007;54;5003;5003
9705;10007;54;5003;5003
9756;10007;54;5003;5003
9806;10007;54;5003;5003
9856;10007;54;5003;5003
9906;10007;54;5003;5003
9957;10007;54;5003;5003
1;10001;106;1224;1224
51;10001;106;1224;1224
102;10001;106;1224;1224
152;10001;106;1224;1224
202;10001;106;1224;1224
252;10001;106;1224;1224
303;10001;106;1224;1224
353;10001;106;1224;1224
403;10001;106;1224;1224
454;10001;106;1224;1224
504;10001;106;1224;1224
554;10001;106;1224;1224
604;10001;106;1224;1224
655;10001;106;1224;1224
705;10001;106;1224;1224
755;10001;106;1224;1224
806;10001;106;1224;1224
856;10001;106;1224;1224
906;10001;106;1224;1224
956;10001;106;1224;1224
1007;10001;106;1224;1224
1057;10001;106;1224;1224
1107;10001;106;1224;1224
1157;10001;106;1224;1224
1208;10001;106;1224;1224
1258;10001;106;1224;1224
1308;10001;106;1224;1224
1359;10001;106;1224;1224
1409;10001;106;1224;1224
1459;10001;106;1224;1224
1509;10001;106;1224;1224
1560;10001;106;1224;1224
1610;10001;106;1224;1224
1660;10001;106;1224;1224
1711;10001;106;1224;1224
1761;10001;106;1224;1224
1811;10001;106;1224;1224
1861;10001;106;1224;1224
1912;10001;106;1224;1224
1962;10001;106;1224;1224
2012;10001;106;1224;1224
2063;10001;106;1224;1224
2113;10001;106;1224;1224
2163;10001;106;1224;1224
2213;10001;106;1224;1224
2264;10001;106;1224;1224
2314;10001;106;1224;1224
2364;10001;106;1224;1224
2415;10001;106;1224;1224
2465;10001;106;1224;1224
2515;10001;106;1224;1224
2565;10001;106;1224;1224
2616;10001;106;1224;1224
2666;10001;106;1224;1224
2716;10001;106;1224;1224
2766;10001;106;1224;1224
2817;10001;106;1224;1224
2867;10001;106;1224;1224
2917;10001;106;1224;1224
2968;10001;106;1224;1224
3018;10001;106;1224;1224
3068;10001;106;1224;1224
3118;10001;106;1224;1224
3169;10001;106;1224;1224
3219;10001;106;1224;1224
3269;10001;106;1224;1224
3320;10001;106;1224;1224
3370;10001;106;1224;1224
3420;10001;106;1224;1224
3470;10001;106;1224;1224
3521;10001;106;1224;1224
3571;10001;106;1224;1224
3621;10001;106;1224;1224
3672;10001;106;1224;1224
3722;10001;106;1224;1224
3772;10001;106;1224;1224
3822;10001;106;1224;1224
3873;10001;106;1224;1224
3923;10001;106;1224;1224
3973;10001;106;72;72
4024;10001;106;1224;1224
4074;10001;106;1224;1224
4124;10001;106;1224;1224
4174;10001;106;1224;1224
4225;10001;106;1224;1224
4275;10001;106;1224;1224
4325;10001;106;1224;1224
4375;10001;106;1224;1224
4426;10001;106;1224;1224
4476;10001;106;1224;1224
4526;10001;106;136;136
4577;10001;106;1224;1224
4627;10001;106;1224;1224
4677;10001;106;1224;1224
4727;10001;106;1224;1224
4778;10001;106;1224;1224
4828;10001;106;1224;1224
4878;10001;106;1224;1224
4929;10001;106;1224;1224
4979;10001;106;1224;1224
5029;10001;106;1224;1224
5079;10001;106;1224;1224
5130;10001;106;1224;1224
5180;10001;106;1224;1224
5230;10001;106;1224;1224
5281;10001;106;1224;1224
5331;10001;106;1224;1224
5381;10001;106;1224;1224
5431;10001;106;1224;1224
5482;10001;106;1224;1224
5532;10001;106;1224;1224
5582;10001;106;1224;1224
5633;10001;106;1224;1224
5683;10001;106;1224;1224
5733;10001;106;1224;1224
5783;10001;106;1224;1224
5834;10001;106;1224;1224
5884;10001;106;1224;1224
5934;10001;106;1224;1224
5984;10001;106;1224;1224
6035;10001;106;1224;1224
6085;10001;106;1224;1224
6135;10001;106;1224;1224
6186;10001;106;1224;1224
6236;10001;106;1224;1224
6286;10001;106;1224;1224
6336;10001;106;1224;1224
6387;10001;106;1224;1224
6437;10001;106;1224;1224
6487;10001;106;1224;1224
6538;10001;106;1224;1224
6588;10001;106;1224;1224
6638;10001;106;1224;1224
6688;10001;106;1224;1224
6739;10001;106;1224;1224
6789;10001;106;136;136
6839;10001;106;1224;1224
6890;10001;106;1224;1224
6940;10001;106;1224;1224
6990;10001;106;1224;1224
7040;10001;106;1224;1224
7091;10001;106;1224;1224
7141;10001;106;1224;1224
7191;10001;106;1224;1224
7242;10001;106;1224;1224
7292;10001;106;1224;1224
7342;10001;106;1224;1224
7392;10001;106;1224;1224
7443;10001;106;1224;1224
7493;10001;106;1224;1224
7543;10001;106;1224;1224
7593;10001;106;1224;1224
7644;10001;106;1224;1224
7694;10001;106;1224;1224
7744;10001;106;1224;1224
7795;10001;106;1224;1224
7845;10001;106;1224;1224
7895;10001;106;1224;1224
7945;10001;106;1224;1224
7996;10001;106;1224;1224
8046;10001;106;1224;1224
8096;10001;106;1224;1224
8147;10001;106;1224;1224
8197;10001;106;1224;1224
8247;10001;106;1224;1224
8297;10001;106;1224;1224
8348;10001;106;1224;1224
8398;10001;106;1224;1224
8448;10001;106;1224;1224
8499;10001;106;1224;1224
8549;10001;106;1224;1224
8599;10001;106;1224;1224
8649;10001;106;1224;1224
8700;10001;106;1224;1224
8750;10001;106;1224;1224
8800;10001;106;1224;1224
8851;10001;106;1224;1224
8901;10001;106;1224;1224
8951;10001;106;1224;1224
9001;10001;106;1224;1224
9052;10001;106;136;136
9102;10001;106;1224;1224
9152;10001;106;1224;1224
9202;10001;106;1224;1224
9253;10001;106;1224;1224
9303;10001;106;1224;1224
9353;10001;106;1224;1224
9404;10001;106;1224;1224
9454;10001;106;1224;1224
9504;10001;106;1224;1224
9554;10001;106;1224;1224
9605;10001;106;1224;1224
9655;10001;106;1224;1224
9705;10001;106;1224;1224
9756;10001;106;1224;1224
9806;10001;106;1224;1224
9856;10001;106;1224;1224
9906;10001;106;1224;1224
9957;10001;106;1224;1224
1;10002;106;1667;1666
51;10002;106;1667;1666
102;10002;106;1666;1666
152;10002;106;1666;1666
202;10002;106;1666;1666
252;10002;106;1666;1666
303;10002;106;1667;1666
353;10002;106;1667;1666
403;10002;106;1667;1666
454;10002;106;1666;1666
504;10002;106;1666;1666
554;10002;106;1666;1666
604;10002;106;1666;1666
655;10002;106;1667;1666
705;10002;106;1667;1666
755;10002;106;1667;1666
806;10002;106;1666;1666
856;10002;106;1666;1666
906;10002;106;1666;1666
956;10002;106;1666;1666
1007;10002;106;1667;1666
1057;10002;106;1667;1666
1107;10002;106;1667;1666
1157;10002;106;1667;1666
1208;10002;106;1666;1666
1258;10002;106;1666;1666
1308;10002;106;1666;1666
1359;10002;106;1667;1666
1409;10002;106;1667;1666
1459;10002;106;1667;1666
1509;10002;106;1667;1666
1560;10002;106;1666;1666
1610;10002;106;1666;1666
1660;10002;106;1666;1666
1711;10002;106;1667;1666
1761;10002;106;1667;1666
1811;10002;106;1667;1666
1861;10002;106;1667;1666
1912;10002;106;1666;1666
1962;10002;106;1666;1666
2012;10002;106;1666;1666
2063;10002;106;1667;1666
2113;10002;106;1667;1666
2163;10002;106;1667;1666
2213;10002;106;1667;1666
2264;10002;106;1666;1666
2314;10002;106;1666;1666
2364;10002;106;1666;1666
2415;10002;106;1667;1666
2465;10002;106;1667;1666
2515;10002;106;1667;1666
2565;10002;106;1667;1666
2616;10002;106;1666;1666
2666;10002;106;1666;1666
2716;10002;106;1666;1666
2766;10002;106;1666;1666
2817;10002;106;1667;1666
2867;10002;106;1667;1666
2917;10002;106;1667;1666
2968;10002;106;1666;1666
3018;10002;106;1666;1666
3068;10002;106;1666;1666
3118;10002;106;1666;1666
3169;10002;106;1667;1666
3219;10002;106;1667;1666
3269;10002;106;1667;1666
3320;10002;106;1666;1666
3370;10002;106;1666;1666
3420;10002;106;1666;1666
3470;10002;106;1666;1666
3521;10002;106;1667;1666
3571;10002;106;1667;1666
3621;10002;106;1667;1666
3672;10002;106;1666;1666
3722;10002;106;1666;1666
3772;10002;106;1666;1666
3822;10002;106;1666;1666
3873;10002;106;1667;1666
3923;10002;106;1667;1666
3973;10002;106;1667;1666
4024;10002;106;1666;1666
4074;10002;106;1666;1666
4124;10002;106;1666;1666
4174;10002;106;1666;1666
4225;10002;106;1667;1666
4275;10002;106;1667;1666
4325;10002;106;1667;1666
4375;10002;106;1667;1666
4426;10002;106;1666;1666
4476;10002;106;1666;1666
4526;10002;106;1666;1666
4577;10002;106;1667;1666
4627;10002;106;1667;1666
4677;10002;106;1667;1666
4727;10002;106;1667;1666
4778;10002;106;1666;1666
4828;10002;106;1666;1666
4878;10002;106;1666;1666
4929;10002;106;1667;1666
4979;10002;106;1667;1666
5029;10002;106;1667;1666
5079;10002;106;1667;1666
5130;10002;106;1666;1666
5180;10002;106;1666;1666
5230;10002;106;1666;1666
5281;10002;106;1667;1666
5331;10002;106;1667;1666
5381;10002;106;1667;1666
5431;10002;106;1667;1666
5482;10002;106;1666;1666
5532;10002;106;1666;1666
5582;10002;106;1666;1666
5633;10002;106;1667;1666
5683;10002;106;1667;1666
5733;10002;106;1667;1666
5783;10002;106;1667;1666
5834;10002;106;1666;1666
5884;10002;106;1666;1666
5934;10002;106;1666;1666
5984;10002;106;1666;1666
6035;10002;106;1667;1666
6085;10002;106;1667;1666
6135;10002;106;1667;1666
6186;10002;106;1666;1666
6236;10002;106;1666;1666
6286;10002;106;1666;1666
6336;10002;106;1666;1666
6387;10002;106;1667;1666
6437;10002;106;1667;1666
6487;10002;106;1667;1666
6538;10002;106;1666;1666
6588;10002;106;1666;1666
6638;10002;106;1666;1666
6688;10002;106;1666;1666
6739;10002;106;1667;1666
6789;10002;106;1667;1666
6839;10002;106;1667;1666
6890;10002;106;1666;1666
6940;10002;106;1666;1666
6990;10002;106;1666;1666
7040;10002;106;1666;1666
7091;10002;106;1667;1666
7141;10002;106;1667;1666
7191;10002;106;1667;1666
7242;10002;106;1666;1666
7292;10002;106;1666;1666
7342;10002;106;1666;1666
7392;10002;106;1666;1666
7443;10002;106;1667;1666
7493;10002;106;1667;1666
7543;10002;106;1667;1666
7593;10002;106;1667;1666
7644;10002;106;1666;1666
7694;10002;106;1666;1666
7744;10002;106;1666;1666
7795;10002;106;1667;1666
7845;10002;106;1667;1666
7895;10002;106;1667;1666
7945;10002;106;1667;1666
7996;10002;106;1666;1666
8046;10002;106;1666;1666
8096;10002;106;1666;1666
8147;10002;106;1667;1666
8197;10002;106;1667;1666
8247;10002;106;1667;1666
8297;10002;106;1667;1666
8348;10002;106;1666;1666
8398;10002;106;1666;1666
8448;10002;106;1666;1666
8499;10002;106;1667;1666
8549;10002;106;1667;1666
8599;10002;106;1667;1666
8649;10002;106;1667;1666
8700;10002;106;1666;1666
8750;10002;106;1666;1666
8800;10002;106;1666;1666
8851;10002;106;1667;1666
8901;10002;106;1667;1666
8951;10002;106;1667;1666
9001;10002;106;1667;1666
9052;10002;106;1666;1666
9102;10002;106;1666;1666
9152;10002;106;1666;1666
9202;10002;106;1666;1666
9253;10002;106;1667;1666
9303;10002;106;1667;1666
9353;10002;106;1667;1666
9404;10002;106;1666;1666
9454;10002;106;1666;1666
9504;10002;106;1666;1666
9554;10002;106;1666;1666
9605;10002;106;1667;1666
9655;10002;106;1667;1666
9705;10002;106;1667;1666
9756;10002;106;1666;1666
9806;10002;106;1666;1666
9856;10002;106;1666;1666
9906;10002;106;1666;1666
9957;10002;106;1667;1666
1;10003;106;51;51
51;10003;106;51;51
102;10003;106;51;51
152;10003;106;51;51
202;10003;106;51;51
252;10003;106;51;51
303;10003;106;51;51
353;10003;106;51;51
403;10003;106;51;51
454;10003;106;51;51
504;10003;106;51;51
554;10003;106;51;51
604;10003;106;51;51
655;10003;106;51;51
705;10003;106;51;51
755;10003;106;51;51
806;10003;106;51;51
856;10003;106;51;51
906;10003;106;51;51
956;10003;106;51;51
1007;10003;106;51;51
1057;10003;106;51;51
1107;10003;106;51;51
1157;10003;106;51;51
1208;10003;106;51;51
1258;10003;106;51;51
1308;10003;106;51;51
1359;10003;106;51;51
1409;10003;106;51;51
1459;10003;106;51;51
1509;10003;106;51;51
1560;10003;106;51;51
1610;10003;106;51;51
1660;10003;106;51;51
1711;10003;106;51;51
1761;10003;106;51;51
1811;10003;106;51;51
1861;10003;106;51;51
1912;10003;106;51;51
1962;10003;106;51;51
2012;10003;106;51;51
2063;10003;106;51;51
2113;10003;106;51;51
2163;10003;106;51;51
2213;10003;106;51;51
2264;10003;106;51;51
2314;10003;106;51;51
2364;10003;106;51;51
2415;10003;106;51;51
2465;10003;106;51;51
2515;10003;106;51;51
2565;10003;106;51;51
2616;10003;106;51;51
2666;10003;106;51;51
2716;10003;106;51;51
2766;10003;106;51;51
2817;10003;106;51;51
2867;10003;106;51;51
2917;10003;106;51;51
2968;10003;106;51;51
3018;10003;106;51;51
3068;10003;106;51;51
3118;10003;106;51;51
3169;10003;106;51;51
3219;10003;106;51;51
3269;10003;106;51;51
3320;10003;106;51;51
3370;10003;106;51;51
3420;10003;106;51;51
3470;10003;106;51;51
3521;10003;106;51;51
3571;10003;106;51;51
3621;10003;106;51;51
3672;10003;106;51;51
3722;10003;106;51;51
3772;10003;106;51;51
3822;10003;106;51;51
3873;10003;106;51;51
3923;10003;106;51;51
3973;10003;106;51;51
4024;10003;106;51;51
4074;10003;106;51;51
4124;10003;106;51;51
4174;10003;106;51;51
4225;10003;106;51;51
4275;10003;106;51;51
4325;10003;106;51;51
4375;10003;106;51;51
4426;10003;106;51;51
4476;10003;106;51;51
4526;10003;106;51;51
4577;10003;106;51;51
4627;10003;106;51;51
4677;10003;106;51;51
4727;10003;106;51;51
4778;10003;106;51;51
4828;10003;106;51;51
4878;10003;106;51;51
4929;10003;106;51;51
4979;10003;106;51;51
5029;10003;106;51;51
5079;10003;106;51;51
5130;10003;106;51;51
5180;10003;106;51;51
5230;10003;106;51;51
5281;10003;106;51;51
5331;10003;106;51;51
5381;10003;106;51;51
5431;10003;106;51;51
5482;10003;106;51;51
5532;10003;106;51;51
5582;10003;106;51;51
5633;10003;106;51;51
5683;10003;106;51;51
5733;10003;106;51;51
5783;10003;106;51;51
5834;10003;106;51;51
5884;10003;106;51;51
5934;10003;106;51;51
5984;10003;106;51;51
6035;10003;106;51;51
6085;10003;106;51;51
6135;10003;106;51;51
6186;10003;106;51;51
6236;10003;106;51;51
6286;10003;106;51;51
6336;10003;106;51;51
6387;10003;106;51;51
6437;10003;106;51;51
6487;10003;106;51;51
6538;10003;106;51;51
6588;10003;106;51;51
6638;10003;106;51;51
6688;10003;106;51;51
6739;10003;106;51;51
6789;10003;106;51;51
6839;10003;106;51;51
6890;10003;106;51;51
6940;10003;106;51;51
6990;10003;106;51;51
7040;10003;106;51;51
7091;10003;106;51;51
7141;10003;106;51;51
7191;10003;106;51;51
7242;10003;106;51;51
7292;10003;106;51;51
7342;10003;106;51;51
7392;10003;106;51;51
7443;10003;106;51;51
7493;10003;106;51;51
7543;10003;106;51;51
7593;10003;106;51;51
7644;10003;106;51;51
7694;10003;106;51;51
7744;10003;106;51;51
7795;10003;106;51;51
7845;10003;106;51;51
7895;10003;106;51;51
7945;10003;106;51;51
7996;10003;106;51;51
8046;10003;106;51;51
8096;10003;106;51;51
8147;10003;106;51;51
8197;10003;106;51;51
8247;10003;106;51;51
8297;10003;106;51;51
8348;10003;106;51;51
8398;10003;106;51;51
8448;10003;106;51;51
8499;10003;106;51;51
8549;10003;106;51;51
8599;10003;106;51;51
8649;10003;106;51;51
8700;10003;106;51;51
8750;10003;106;51;51
8800;10003;106;51;51
8851;10003;106;51;51
8901;10003;106;51;51
8951;10003;106;51;51
9001;10003;106;51;51
9052;10003;106;51;51
9102;10003;106;51;51
9152;10003;106;51;51
9202;10003;106;51;51
9253;10003;106;51;51
9303;10003;106;51;51
9353;10003;106;51;51
9404;10003;106;51;51
9454;10003;106;51;51
9504;10003;106;51;51
9554;10003;106;51;51
9605;10003;106;51;51
9655;10003;106;51;51
9705;10003;106;51;51
9756;10003;106;51;51
9806;10003;106;51;51
9856;10003;106;51;51
9906;10003;106;51;51
9957;10003;106;51;51
1;10004;106;122;120
51;10004;106;122;120
102;10004;106;121;120
152;10004;106;120;120
202;10004;106;121;120
252;10004;106;120;120
303;10004;106;122;120
353;10004;106;122;120
403;10004;106;122;120
454;10004;106;121;120
504;10004;106;120;120
554;10004;106;121;120
604;10004;106;120;120
655;10004;106;122;120
705;10004;106;122;120
755;10004;106;122;120
806;10004;106;121;120
856;10004;106;120;120
