u_i;p;M;L;l.1
1811;10002;1;1;1
1861;10002;1;1;1
1912;10002;1;1;1
1962;10002;1;1;1
2012;10002;1;1;1
2063;10002;1;1;1
2113;10002;1;1;1
2163;10002;1;1;1
2213;10002;1;1;1
2264;10002;1;1;1
2314;10002;1;1;1
2364;10002;1;1;1
2415;10002;1;1;1
2465;10002;1;1;1
2515;10002;1;1;1
2565;10002;1;1;1
2616;10002;1;1;1
2666;10002;1;1;1
2716;10002;1;1;1
2766;10002;1;1;1
2817;10002;1;1;1
2867;10002;1;1;1
2917;10002;1;1;1
2968;10002;1;1;1
3018;10002;1;1;1
3068;10002;1;1;1
3118;10002;1;1;1
3169;10002;1;1;1
3219;10002;1;1;1
3269;10002;1;1;1
3320;10002;1;1;1
3370;10002;1;1;1
3420;10002;1;1;1
3470;10002;1;1;1
3521;10002;1;1;1
3571;10002;1;1;1
3621;10002;1;1;1
3672;10002;1;1;1
3722;10002;1;1;1
3772;10002;1;1;1
3822;10002;1;1;1
3873;10002;1;1;1
3923;10002;1;1;1
3973;10002;1;1;1
4024;10002;1;1;1
4074;10002;1;1;1
4124;10002;1;1;1
4174;10002;1;1;1
4225;10002;1;1;1
4275;10002;1;1;1
4325;10002;1;1;1
4375;10002;1;1;1
4426;10002;1;1;1
4476;10002;1;1;1
4526;10002;1;1;1
4577;10002;1;1;1
4627;10002;1;1;1
4677;10002;1;1;1
4727;10002;1;1;1
4778;10002;1;1;1
4828;10002;1;1;1
4878;10002;1;1;1
4929;10002;1;1;1
4979;10002;1;1;1
5029;10002;1;1;1
5079;10002;1;1;1
5130;10002;1;1;1
5180;10002;1;1;1
5230;10002;1;1;1
5281;10002;1;1;1
5331;10002;1;1;1
5381;10002;1;1;1
5431;10002;1;1;1
5482;10002;1;1;1
5532;10002;1;1;1
5582;10002;1;1;1
5633;10002;1;1;1
5683;10002;1;1;1
5733;10002;1;1;1
5783;10002;1;1;1
5834;10002;1;1;1
5884;10002;1;1;1
5934;10002;1;1;1
5984;10002;1;1;1
6035;10002;1;1;1
6085;10002;1;1;1
6135;10002;1;1;1
6186;10002;1;1;1
6236;10002;1;1;1
6286;10002;1;1;1
6336;10002;1;1;1
6387;10002;1;1;1
6437;10002;1;1;1
6487;10002;1;1;1
6538;10002;1;1;1
6588;10002;1;1;1
6638;10002;1;1;1
6688;10002;1;1;1
6739;10002;1;1;1
6789;10002;1;1;1
6839;10002;1;1;1
6890;10002;1;1;1
6940;10002;1;1;1
6990;10002;1;1;1
7040;10002;1;1;1
7091;10002;1;1;1
7141;10002;1;1;1
7191;10002;1;1;1
7242;10002;1;1;1
7292;10002;1;1;1
7342;10002;1;1;1
7392;10002;1;1;1
7443;10002;1;1;1
7493;10002;1;1;1
7543;10002;1;1;1
7593;10002;1;1;1
